date_slot,specialization,doctor_name,hospital_name,is_available,patient_to_attend
05-08-2024 09:00,general_dentist,Dr. Arjun Reddy,KIMS,TRUE,
05-08-2024 10:00,general_dentist,Dr. Arjun Reddy,KIMS,TRUE,
05-08-2024 11:00,general_dentist,Dr. Arjun Reddy,KIMS,FALSE,1855392.0
05-08-2024 12:00,general_dentist,Dr. Arjun Reddy,Apollo,FALSE,1437055.0
05-08-2024 13:00,general_dentist,Dr. Arjun Reddy,Apollo,TRUE,
05-08-2024 14:00,general_dentist,Dr. Arjun Reddy,Apollo,TRUE,
05-08-2024 15:00,general_dentist,Dr. Arjun Reddy,Rainbow,FALSE,1746363.0
05-08-2024 16:00,general_dentist,Dr. Arjun Reddy,Rainbow,FALSE,1719602.0
05-08-2024 09:00,general_dentist,Dr. Priya Sharma,KIMS,FALSE,1621986.0
05-08-2024 10:00,general_dentist,Dr. Priya Sharma,KIMS,TRUE,
05-08-2024 11:00,general_dentist,Dr. Priya Sharma,KIMS,FALSE,1944565.0
05-08-2024 12:00,general_dentist,Dr. Priya Sharma,Apollo,TRUE,
05-08-2024 13:00,general_dentist,Dr. Priya Sharma,Apollo,TRUE,
05-08-2024 14:00,general_dentist,Dr. Priya Sharma,Apollo,TRUE,
05-08-2024 15:00,general_dentist,Dr. Priya Sharma,Rainbow,TRUE,
05-08-2024 16:00,general_dentist,Dr. Priya Sharma,Rainbow,TRUE,
05-08-2024 09:00,general_dentist,Dr. Ravi Kumar,KIMS,TRUE,
05-08-2024 10:00,general_dentist,Dr. Ravi Kumar,KIMS,TRUE,
05-08-2024 11:00,general_dentist,Dr. Ravi Kumar,KIMS,TRUE,
05-08-2024 12:00,general_dentist,Dr. Ravi Kumar,Apollo,TRUE,
05-08-2024 13:00,general_dentist,Dr. Ravi Kumar,Apollo,FALSE,1509117.0
05-08-2024 14:00,general_dentist,Dr. Ravi Kumar,Apollo,FALSE,1342727.0
05-08-2024 15:00,general_dentist,Dr. Ravi Kumar,Rainbow,FALSE,1433019.0
05-08-2024 16:00,general_dentist,Dr. Ravi Kumar,Rainbow,TRUE,
05-08-2024 09:00,general_dentist,Dr. Kevin Adams,KIMS,FALSE,1032265.0
05-08-2024 10:00,general_dentist,Dr. Kevin Adams,KIMS,FALSE,1435742.0
05-08-2024 11:00,general_dentist,Dr. Kevin Adams,KIMS,TRUE,
05-08-2024 12:00,general_dentist,Dr. Kevin Adams,Apollo,FALSE,1023559.0
05-08-2024 13:00,general_dentist,Dr. Kevin Adams,Apollo,TRUE,
05-08-2024 14:00,general_dentist,Dr. Kevin Adams,Apollo,TRUE,
05-08-2024 15:00,general_dentist,Dr. Kevin Adams,Rainbow,FALSE,1182534.0
05-08-2024 16:00,general_dentist,Dr. Kevin Adams,Rainbow,TRUE,
